,a,b,c,d,e,f,g,h,i,renzhen,weibo_num,gzl,fsl
10,微数据,":大数据助力游族网络！[鼓掌]发布了头条文章：《游族网络:全球化、大数据助力,期待IP价值充分变现》 游族网络:全球化、大数据助力,期待IP价值充分变现",11分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/weishuju,认证：微数据官方微博,微博[10995],关注[321],粉丝[332882]
11,原力大数据,:#原力大数据学院# 联手最强广州大学经济与统计学院团委学生会秘书处旋风来袭，一次精神的的洗涤，一场思想的盛宴，就在11月30日19:30-21:00，广州大学文清楼120室。@广州大学@广州大学经济与统计学院,12分钟前?来自专业版微博,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5786661529,认证：广州帷策智能科技有限公司,微博[1],关注[94],粉丝[6583]
12,大卫茂国际购物中心,:【200个标杆Mall研究大数据|未来一定要有这些体验业态】 商业地产未来必将是关乎于想象力的战争，名为“体验式”的战争已经打响。你的商业如何突破重围，引起市场的足够重视？http://t.cn/RfoWhHe,12分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/davemall,认证：大卫茂国际购物中心官方微博,微博[1678],关注[242],粉丝[429]
13,一粒沙不黑,:环境大数据应用站在了风口上，但行业整体管理技术水平一般,14分钟前?来自OPPO R7s,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1421771312,,微博[1851],关注[482],粉丝[167]
14,舒克丶开飞机,:大数据改变世界，Spark改变大数据,14分钟前?来自华为Ascend Mate7,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2452605082,love is  evol,微博[2536],关注[435],粉丝[106]
15,大数据观察天堂,:#谁泄露了我的个人信息#我们期待的是“把大数据关到笼子里” http://t.cn/Rf9IovT,15分钟前?来自大数据观察,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5602832449,认证：合肥乐维信息技术有限公司,微博[1815],关注[716],粉丝[159]
16,媒介360,:【新零售 新经济趋势解读】1、全渠道——新零售出现的必要条件是全渠道融合，未来电子商务平台即将消失，线上线下和物流结合在一起，新零售的模式才会出现；2、数据化——大数据是驱动新零售变革的核心，以实体门店、电子商务、移动互联网为核心，通过融合线上线下，实现商品、会员、交易、营销等数据?全文,17分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/chinamedia360,认证：媒介360 中国媒介智库,微博[29594],关注[1996],粉丝[108704]
17,健康达人杏子,:权威大数据，解读荆州人的健康素养！想知道吗？那就点进来看看！ 我分享了荆州居民健康素养水平调查报告出炉,17分钟前?来自iPhone 6s,no,no,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1299481222,要健康，就跑步，跑出健康，跑出快乐！,微博[1045],关注[289],粉丝[111]
18,用益官方微博,:【互联网+背景下信托也将有更多作为】掌握了互联网的思维和互联网的技术之后，信托公司可以独立的或者是跟其他互联网企业合作来设立互联网专业子公司。在专业子公司的层面上运用互联网思维开发产品，运用互联网手段来推送信托产品和信托服务，运用大数据的手段来掌控风险。……http://t.cn/Rf9IqUG,19分钟前?来自360安全浏览器,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/usetrust,认证：南昌用益投资理财顾问有限公司官方微博,微博[6768],关注[124],粉丝[8502]
19,力比多学院,:#力比多学院# #心理学考研# 还在纠结心理学考研要不要报辅导班？莫慌，先来看看大数据怎么说[思考][思考][思考]戳>>>http://t.cn/Rf9Iw8n @心理学考研人 @应用心理硕士347专硕一本通,20分钟前?来自微博 weibo.com,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/libidoscn,认证：北京华心博睿教育科技有限公司,微博[705],关注[67],粉丝[6980]
20,伸出你的手迎接我的热情,感谢台前幕后15000多名演职人员为#择天记# 的辛勤付出；感谢播出平台湖南卫视、腾讯视频、芒果TV、爱奇艺、乐视视频、搜狐视频、优酷的强力支持；感谢百万粉丝对#电视剧择天记# 数十亿次从不间断的关注。未来我们一起努力，2017择天见！感恩节快乐！,22分钟前?来自iPhone 6s,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5904689883,就让我坠入海底,微博[3402],关注[126],粉丝[68]
21,妖精还我爷爷87,:阿拉丁神鹿，我有三个愿望：希望能收到一封鹿晗写给我的亲笔信，希望二巡能抢到前排座位，希望我有好的运气也有坚持自己梦想的勇气。#鹿晗# 感恩节，感谢有你们，感谢有glw这个大家庭，感谢大家共同努力创造的一个又一个大数据奇迹。 每次打开微博看见你们都觉得make my day～#鹿晗愿望季# @M鹿M ?全文,22分钟前?来自iPhone 7,no,no,赞[3]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2514340391,宅若久时天然呆，呆到深处自然萌,微博[1498],关注[153],粉丝[346]
22,何春银微想,#网络名人微访谈# 我向 @巴松狼王 @生态梦人 @贾峰 @何春银微想 提问：中国的环保模式应该是什么？#1831#,25分钟前?来自华为P9手机摄影再突破,no,yes,赞[1]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/hechunyin,认证：南京微博名人汇理事长、1831大数据创始人,微博[13839],关注[3824],粉丝[1104229]
23,阿玺与小烊,:@TFBOYS-易烊千玺 [心]『2015国民表达大数据』http://t.cn/Rf9bi7A,26分钟前?来自??～Android,yes,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/TheMemorable1128,?烊宝宝 帅傻子?路很长 陪你走?Yee,微博[9865],关注[169],粉丝[59]
24,淡淡浅浅-,:努力，力争被查[哈哈][哈哈][哈哈][笑cry]『税务要大开杀戒，明年将清查个人全部银行账户！！税务局强大的大数据评估与云计算来到了我们身边』税务要大开杀戒，明年将清查个人全部银行账户！！税务局强大的大数据评估与云计算来到了我们身边,30分钟前?来自iPhone 6s,yes,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5155231120,,微博[86],关注[381],粉丝[86]
25,ns2046赵建华,:看到一则广告: “用户Y选平台用文字、语音、视频发布个性化的服务需求，Y选通过大数据分析，将订单推送给精准匹配的服务商，服务商抢单后，用户就能收到精准匹配的服务商信息，瞬间完成人与服务的精准连接。” 点评: 感觉又是一个打着个性化定制幌子，用所谓的大数据来忽悠人的平台崇拜之模式！,30分钟前?来自UC浏览器Android版,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/ns2046,认证：苏州派诺贸易有限公司创始人,微博[2754],关注[344],粉丝[277]
26,中国市场情报中心,:【CMIC：开源模式——促进大数据发展的主导力量】从云计算、大数据、物联网、人工智能等新一代信息技术创新历程可以清晰地看出，开源模式活跃在各个领域，更为重要的是，随着全球各大科技巨头的竞相加入，开源模式正逐渐成为推动大数据等各领域技术创新的主导力量...http://t.cn/Rf9fL9v,31分钟前?来自百度浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/cmicccid,中国最权威研究咨询服务平台，拥有超100家国内外主流研究机构...,微博[10004],关注[1664],粉丝[1887]
27,白山飘雪,:【大数据+医疗，不同领域专家都怎么看？】 http://t.cn/Rf9fLqN,31分钟前?来自今日头条,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1432541804,,微博[2036],关注[68],粉丝[31]
28,36大数据网,懂大数据有6大门派：1）百度腾讯阿里真正拥有数据并且在实战中有成功收益的 收益者2）运营商提出对内数据支持业务，对外数据创造价值的数据拥有者3）有钱任性的金融和大型互联网企业，有明确的预算，可以找到数据价值的实战派,31分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/36dsj,认证：36大数据网36dsj.com官方微博,微博[11046],关注[1366],粉丝[14509]
29,36大数据网,:【吴军：三个案例透析大数据思维的核心】逻辑推理能力是人类特有的本领，给出原因，我们能够通过逻辑推理得到结果。大数据时代，大数据思维要求我们从探求因果联系到探索强相关关系。以下三个案例分别来自药品研发、司法判决与广告投放，从三个不同的角度了解大数据思维的核心。http://t.cn/Rf9fZ4w,32分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/36dsj,认证：36大数据网36dsj.com官方微博,微博[11046],关注[1366],粉丝[14509]
30,夏至后天,据说贵州和甘肃是中国最穷的两个省份。但我知道贵州很快会远超甘肃。为什么？因为贵州只是单纯穷，没别的毛病。作为全国唯一没有平原支撑的省份，穷是必然。虽然少数民族众多，好几个自治州，然而没有一个民族恨猪，没有一个民族拒绝通婚。现在贵州的官员很给力，花大力气搞教育、修高速，全省上下一片?全文,33分钟前?来自Weico.iPhone,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bianconeri,Words are wind.Do it，just do it.,微博[1582],关注[890],粉丝[1199]
31,张涵诚大数据,懂大数据有6大门派：1）百度腾讯阿里真正拥有数据并且在实战中有成功收益的 收益者2）运营商提出对内数据支持业务，对外数据创造价值的数据拥有者3）有钱任性的金融和大型互联网企业，有明确的预算，可以找到数据价值的实战派,34分钟前?来自微博 weibo.com,no,yes,赞[1]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/210121286,认证：中关村大数据交易产业联盟副秘书长,微博[7428],关注[1990],粉丝[17923]
32,张涵诚大数据,:懂大数据有6大门派：1）百度腾讯阿里真正拥有数据并且在实战中有成功收益的 收益者2）运营商提出对内数据支持业务，对外数据创造价值的数据拥有者3）有钱任性的金融和大型互联网企业，有明确的预算，可以找到数据价值的实战派,35分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[3]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/210121286,认证：中关村大数据交易产业联盟副秘书长,微博[7428],关注[1990],粉丝[17923]
33,何春银微想,#网络名人微访谈# 我向 @巴松狼王 @生态梦人 @贾峰 @何春银微想 提问：中国经济转入新常态，意味着我国经济发展的条件和环境已经或即将发生诸多重大转变，环保与经济的协调发展在新常态的中国经济中有哪些体现？,35分钟前?来自华为P9手机摄影再突破,no,yes,赞[1]</a>,转发[4]</a>?<a c,评论[1]</a>?<a h,http://weibo.cn/hechunyin,认证：南京微博名人汇理事长、1831大数据创始人,微博[13839],关注[3824],粉丝[1104229]
34,红道2011,":今天是感恩节!感谢加油站找回失落的加油卡! 感谢客户接电话,本周末研究款项事宜,下周给信! 感谢所有员工本月为公司交贷所付出的努力!感 谢爱人为我支付买书(丰子凯漫画集,大数据及活法10本)的安排,完成我想潜移默化推广佛学的心愿!感 谢李校长读书会的做法!感 恩这美好的一切!!![给力][ok][笑cry]",38分钟前?来自微博 weibo.com,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1395105525,关注诚信的构建，关爱社会精英（含企业家）保健与贡献，爱与成...,微博[1617],关注[1355],粉丝[363]
35,浪潮大数据,:【大数据看火锅：济南80后最爱吃火锅】在年龄分布方面，济南人中对火锅关注度最高的是80后。数据显示，热衷火锅的人群中，25-34岁的人群占据了半壁江山，约占总数的41%；19-24岁的人群紧随其后，占比32%；18岁及以下的群体占比13%；35-49岁的人群占比12%，50岁及以上的人群最少，占比仅2%。,39分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5144362128,认证：浪潮软件集团有限公司,微博[1230],关注[60],粉丝[261]
36,卡米王老邪ye,【2016年企业年报将增社保和统计事项】工商总局、人社部、统计局近日联合发出通知，决定在2016年年度企业年报中增加社保和统计事项。这意味着，明年企业在申报年报时，就要增加单位参保人数、缴费基数、实缴金额等和主营业务活动、分支机构隶属母公司的统一社会信用代码等内容。http://t.cn/Rf9ciHW,40分钟前?来自小米 Note 顶配版,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/870610516,随缘、随心、随和,微博[11174],关注[534],粉丝[82]
37,杭州绿,:老人出去玩?有了啥变化（大数据观察）--社会--人民网 （分享自 @人民网） 老人出去玩?有了啥变化（大数据观察）,41分钟前?来自分享按钮,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2969047725,淡泊以明志，宁静而致远.,微博[3570],关注[826],粉丝[157]
38,CSDN云计算,:#BDTC2016#[BDTC PPT集萃（国外篇）：Facebook、LinkedIn等分享的大数据架构] 2016年12月8—10日，BDTC 2016中国大数据技术大会将在北京新云南皇冠假日酒店隆重举办。回顾以往九届的技术盛宴，CSDN特整理部分PPT精粹，分三期进行分享，一起回忆那些年曾经带动企业发展的技术热点和实战经验。?全文,43分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/csdncloud,认证：中国云计算大会官方微博,微博[6135],关注[599],粉丝[65519]
39,大地风景旅游研究院,:#推介会#近日，2016中国青岛平度旅游特色小镇暨“食在平度”品牌推介会在北京·国家会议中心隆重举行。深圳和而泰智能控制股份有限公司董事长刘建伟受邀参加并就健康大数据为主题分析了平度建立大数据平台的意义。刘建伟：健康平度大数据平台建立的意义,45分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bestourism,认证：北京大地风景旅游景观规划院官方微博,微博[2241],关注[418],粉丝[6138]
40,何春银微想,#网络名人微访谈#我向@何春银微想 提出一个问题：互联网+环保，如何在中央企业里落地?真正的为国家环保工作作出表率和样板，率先成为环保领域领头雁。@政务新媒体学院 @李峥嵘,47分钟前?来自华为P9手机摄影再突破,no,yes,赞[1]</a>,转发[2]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/hechunyin,认证：南京微博名人汇理事长、1831大数据创始人,微博[13839],关注[3824],粉丝[1104229]
41,clearshine,#疫苗# 中国孩子到底接种了多少剂脊灰疫苗？我说中国孩子平均接种了9剂脊灰疫苗，@火爸朱剑笛 认为有造谣之嫌。这当然不是造谣，我国2007年起在中国食品药品鉴定研究院网站上公示疫苗上市数据http://t.cn/R5rcmL6。2007～2012年我国脊灰疫苗的上市量达到了9.08亿剂（包括活疫苗、灭活疫苗和五联疫苗?全文,47分钟前?来自微博 weibo.com,no,no,赞[1]</a>,转发[6]</a>?<a c,评论[2]</a>?<a h,http://weibo.cn/clearshine,阳光碎成细纹穿透百叶窗隙,微博[4849],关注[182],粉丝[2254]
42,庄森-Janson,:世卫组织发布的全球空气污染大数据，身在庄里的你知道吗？不比不知道，一比吓一跳啊！国际庄的人要有国际视野啊！国际庄领跑中国PM10污染最重城市！唉，我去！[衰]@庄里微 @河北新闻哥 http://t.cn/Rf9cgfB,47分钟前?来自360安全浏览器,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bilige,生活不止眼前的苟且，还有诗和远方的原野！,微博[582],关注[155],粉丝[164]
43,马琳琳Marlin,:美乐家最最牛逼之一【大数据系统】???很多人说，我怎么可能一辈子只用一个品牌?那我可以肯定的告诉你，只要你在Mela环保超市消费半年，认真用你买到的每款产品，你就会主动回来购买的[卡门]美乐家的大数据给出的官方回购率达到96%?因为产品足够好?足够安全?公司给的福利足够多??全文,48分钟前?来自自由乐活派iPhone 6,yes,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/marlinshl,请保护你内心的光， 因为你不知，谁会借此走出黑暗?……,微博[1053],关注[98],粉丝[233]
44,华韵大成文化传播,:刘星老师最新力作《大数据》已面世@出版人罗时迁-搜狐 刘星老师最新力作《大数据》已面世@出版人罗时迁,51分钟前?来自分享按钮,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/huayundacheng,认证：北京华韵大成文化传播有限公司官方微博,微博[13962],关注[1879],粉丝[18659]
45,华东江苏大数据交易中心,:#漫谈大数据#《数据科学与火箭科学如何将人类送上火星？》  最近奥巴马总统再次证实，美国将不遗余力地实行将载人航天器送上火星。如果你觉得自己面临的数据科学难题太有挑战性，那你应该想一想，用挖掘数据的方式来探究火星远征对健康的影响，是多难的一件事 数据科学与火箭科学如何将人类送上火星？,53分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bigdatahd,认证：华东江苏大数据交易中心官方微博,微博[1880],关注[122],粉丝[550]
46,浪潮大数据,:【大数据看火锅：济南人均花费100元以内的占六成】据浪潮大数据监测，济南人吃火锅人均花费在50-100元的占比最高（33%），其次则是人均50元以下的人群，占比约30%。人均100-150元的占比最少，为15%，150元以上的占比22%。,54分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5144362128,认证：浪潮软件集团有限公司,微博[1230],关注[60],粉丝[261]
47,中国奥盟网,:#工业大数据# 2016年1－9月消费品工业运行总体情况：一、生产运行放缓。消费品工业增加值同比增长5.02%，低于全部工业0.98个百分点。其中，轻工（不含食品）、纺织、食品、医药和烟草等行业分别增长6.15%、5.6%、6.92%、10.4%和-10.8%。消费品工业增加值占全部工业的32.5%。二、投资增长平稳。消费?全文,57分钟前?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5663503484,认证：山西奥盟传动科技发展有限公司,微博[2305],关注[128],粉丝[1145]
48,猫耳萌-,这件事告诉我们：吃东西前先拍照分享的重要性。——Peilun0912,今天 09:37?来自OPPO R9,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/2374534757,"那一刻你心里有一场海啸,可是你静静站着,没有让任何人知道.",微博[188],关注[94],粉丝[56]
49,ejinxian,:BDTC PPT集萃（国外篇）：Facebook、LinkedIn等分享的大数据架构（来自 @极客头条 ） http://t.cn/Rf9tkIm,今天 09:36?来自分享按钮,no,no,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/ejinxian,聪明的人看得懂，精明的人看得准，高明的人看得远,微博[933],关注[83],粉丝[73]
50,绍兴网,:【扫扫猪耳上的二维码，一秒追溯防疫信息】在柯桥区苗仙生猪场，兽医裘建新正在对2号猪舍的200头生猪注射口蹄疫疫苗。注射完毕后，他将该猪场的信息卡插入智能识读器，录入防疫信息。他告诉记者，从明年1月份开始，大数据管理系统将上线，每一头生猪都要有详尽的防疫信息，才可以开具动物检疫合格证明?全文,今天 09:34?来自微博 weibo.com,no,yes,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/shaoxingnet,认证：绍兴网www.shaoxing.com.cn官方微博,微博[24257],关注[335],粉丝[232288]
51,活着的时光,:与基于用户记录的“大数据”相比，抽样调查方法所针对的人群结构应该更具覆盖面，但也会因为其中一个小数据的偏差而产生分析结果的很大误差。各有利弊。一文|读懂观众调研：原理、方法论与好莱坞的经验,今天 09:33?来自手机微博触屏版,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1288523521,认证：电影史学家弘石,微博[1008],关注[159],粉丝[14375]
52,浪潮大数据,:【大数据显示济南人最爱点牛羊肉和冻豆腐】济南人吃火锅最爱点的菜品是什么？据浪潮大数据监测，肉类中牛肉、羊肉、虾滑高居前三，素食类则是冻豆腐、菌菇和白菜备受青睐。,今天 09:32?来自微博 weibo.com,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/5144362128,认证：浪潮软件集团有限公司,微博[1230],关注[60],粉丝[261]
53,宝贝计画绘本美术,:#儿童美术#[ 教育观察 ] 大数据告诉你，孩子最渴望什么样的教育 [ 教育观察 ] 大数据告诉你，孩子最渴望什么样的教育,今天 09:30?来自皮皮时光机企业版,no,yes,赞[0]</a>,转发[1]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/bbjh001,认证：北京绘本原创教育科技有限公司,微博[49741],关注[480],粉丝[26370]
54,温宏轩,:税务要大开杀戒，明年将清查个人全部银行账户！！税务局强大的大数据评估与云计算来到了我们身边税务要大开杀戒，明年将清查个人全部银行账户！！税务局强大的大数据评估与云计算来到了我们身边,今天 09:30?来自三星 Galaxy S7 Edge,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3965277949,认证：乌鲁木齐宏轩詹妮文化传媒有限公司董事总经理温宏轩,微博[578],关注[1273],粉丝[8286]
55,行者杨金辉-在路上,"【互联网+政务,政务大数据规划实施方案(ppt)】互联网+政务,政务大数据规划实施方案(ppt)",今天 09:27?来自中国移动-三星GalaxyNote3,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3937666483,认证：数字化智能校园建设联盟主席、中国电科太极股份北方大区副总经理,微博[19093],关注[625],粉丝[2388]
56,行者杨金辉-在路上,"【互联网+政务,政务大数据规划实施方案(ppt)】互联网+政务,政务大数据规划实施方案(ppt)",今天 09:27?来自中国移动-三星GalaxyNote3,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/3937666483,认证：数字化智能校园建设联盟主席、中国电科太极股份北方大区副总经理,微博[19093],关注[625],粉丝[2388]
57,念父,:西门子计划从2017年起将其主要用于对工业设备收集的大数据进行分析的平台提供给微软的云服务。西门子将借此提高客户企业的便利性，以促进对自身服务和以及有助于提高生产效率的软件等的利用。    　　西门子当天在德国南部纽伦堡召开的全球最大规模工业用...  http://t.cn/Rf9tfpe,今天 09:27?来自iMAIBO.NET投资脉搏,no,yes,赞[0]</a>,转发[0]</a>?<a c,评论[0]</a>?<a h,http://weibo.cn/u/1279693157,认证：职业投资人,微博[2564],关注[135],粉丝[29160]
